event_id,draw_date,stream,prior_draw_date,prior_result_used_as_seed,seed,base4,seed_core,actual_core,last1_aabc_core,last2_aabc_core,last3_aabc_core,target_core,config,evidence_score,rule_count,max_precision,max_lift,total_support,total_target_hits,final_stream_core_score,has_rule_evidence,matrix_rank_in_stream,daily_opportunity_rank,stream_core_rank_by_deep_score,HISTORY_THROUGH,PLAY_DATE,core_score,full_core_rank,daily_opportunity_rank_num,is_watched8_core,watched8_rank,prior_seed_core,last1_norm,prior_seed_core_for_transition,global_prevcore_to_core_count,stream_prevcore_to_core_count,stream_core_hit_count,lane_top4_normal,lane_watched8_transition,lane_watched8_buried,lane_stream_affinity,trap_keep,trap_lane,trap_lane_weight,trap_priority_score,candidate_member,member_source,member_soft_score,member_soft_reason,existing_final_member_score,existing_member_rank_within_core,existing_daily_member_matrix_rank,existing_played_flag,existing_final_play_rank,existing_final_member_score_num,lane_member_depth,member_trap_score,member_trap_rank_within_core,member_depth_keep
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,457,ALL_BALANCED,2.714100878908039,1.0,0.7143,1.4031,14.0,10.0,2.714100878908039,True,91,6527,91,2026-06-17,2026-06-18,2.714100878908039,91,6527,True,6,249,249,249,4,0,0,False,False,True,False,True,WATCHED8_BURIED,1,1004.3999353076179,4577,generated_from_trap_core,0.27,mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1007.6399353076179,3,True
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,567,ALL_BALANCED,6.937825871609533,2.0,0.7857,1.5595,37.0,28.0,6.937825871609533,True,46,3647,46,2026-06-17,2026-06-18,6.937825871609533,46,3647,True,3,249,249,249,1,0,0,True,False,False,False,True,TOP4_NORMAL,3,602.1282390550634,5567,existing_member_matrix,0.0,weak soft fit,19.775000000000002,1,659,False,,19.775000000000002,1,605.0944890550634,1,True
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,567,ALL_BALANCED,6.937825871609533,2.0,0.7857,1.5595,37.0,28.0,6.937825871609533,True,46,3647,46,2026-06-17,2026-06-18,6.937825871609533,46,3647,True,3,249,249,249,1,0,0,True,False,False,False,True,TOP4_NORMAL,3,602.1282390550634,5667,existing_member_matrix,0.0,weak soft fit,19.775000000000002,2,660,False,,19.775000000000002,1,605.0944890550634,2,False
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,567,ALL_BALANCED,6.937825871609533,2.0,0.7857,1.5595,37.0,28.0,6.937825871609533,True,46,3647,46,2026-06-17,2026-06-18,6.937825871609533,46,3647,True,3,249,249,249,1,0,0,True,False,False,False,True,TOP4_NORMAL,3,602.1282390550634,5677,existing_member_matrix,0.0,weak soft fit,19.775000000000002,3,661,False,,19.775000000000002,1,605.0944890550634,3,False
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,067,ALL_BALANCED,24.721364878356596,7.0,0.8462,1.7452,127.0,97.0,24.721364878356596,True,6,337,6,2026-06-17,2026-06-18,24.721364878356596,6,337,True,2,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,608.3524777074249,0067,existing_member_matrix,0.27,mirror seed-sum last digit in member; digit overlap 1,29.85,1,376,False,,29.85,1,616.0699777074249,1,True
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,067,ALL_BALANCED,24.721364878356596,7.0,0.8462,1.7452,127.0,97.0,24.721364878356596,True,6,337,6,2026-06-17,2026-06-18,24.721364878356596,6,337,True,2,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,608.3524777074249,0667,existing_member_matrix,0.27,mirror seed-sum last digit in member; digit overlap 1,29.85,2,377,False,,29.85,1,616.0699777074249,2,False
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,067,ALL_BALANCED,24.721364878356596,7.0,0.8462,1.7452,127.0,97.0,24.721364878356596,True,6,337,6,2026-06-17,2026-06-18,24.721364878356596,6,337,True,2,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,608.3524777074249,0677,existing_member_matrix,0.27,mirror seed-sum last digit in member; digit overlap 1,29.85,3,378,False,,29.85,1,616.0699777074249,3,False
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,389,ALL_BALANCED,25.122209333687334,8.0,0.8095,1.5717,148.0,110.0,25.122209333687334,True,5,317,5,2026-06-17,2026-06-18,25.122209333687334,5,317,True,1,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,608.5427732667906,3389,existing_member_matrix,0.32,sum delta <=2; digit overlap 2,40.03125,3,112,False,,40.03125,1,618.3874607667907,1,True
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,389,ALL_BALANCED,25.122209333687334,8.0,0.8095,1.5717,148.0,110.0,25.122209333687334,True,5,317,5,2026-06-17,2026-06-18,25.122209333687334,5,317,True,1,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,608.5427732667906,3889,existing_member_matrix,0.24000000000000002,sum delta <=3; digit overlap 2,40.331250000000004,2,78,True,75,40.331250000000004,1,617.4724607667906,2,False
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,389,ALL_BALANCED,25.122209333687334,8.0,0.8095,1.5717,148.0,110.0,25.122209333687334,True,5,317,5,2026-06-17,2026-06-18,25.122209333687334,5,317,True,1,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,608.5427732667906,3899,existing_member_matrix,0.14,digit overlap 2,40.50625,1,56,True,53,40.50625,1,616.2987107667906,3,False
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,457,ALL_BALANCED,17.9087831833064,6.0,0.8,1.5825,84.0,63.0,17.9087831833064,True,12,874,12,2026-06-17,2026-06-18,17.9087831833064,12,874,True,3,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,605.6680741141572,4577,existing_member_matrix,0.53,sum delta <=2; seed-sum last digit in member,19.400000000000002,3,690,False,,19.400000000000002,1,614.9380741141572,1,True
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,457,ALL_BALANCED,17.9087831833064,6.0,0.8,1.5825,84.0,63.0,17.9087831833064,True,12,874,12,2026-06-17,2026-06-18,17.9087831833064,12,874,True,3,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,605.6680741141572,4457,existing_member_matrix,0.35,seed-sum last digit in member,19.875,1,620,False,,19.875,1,612.8493241141573,2,False
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,457,ALL_BALANCED,17.9087831833064,6.0,0.8,1.5825,84.0,63.0,17.9087831833064,True,12,874,12,2026-06-17,2026-06-18,17.9087831833064,12,874,True,3,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,605.6680741141572,4557,existing_member_matrix,0.35,seed-sum last digit in member,19.875,2,621,False,,19.875,1,612.8493241141573,3,False
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,679,ALL_BALANCED,11.437286290171667,4.0,0.7692,1.4796,59.0,43.0,11.437286290171667,True,32,2126,32,2026-06-17,2026-06-18,11.437286290171667,32,2126,True,4,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,602.4030502015601,6679,existing_member_matrix,0.24000000000000002,sum delta <=3; digit overlap 2,9.600000000000001,3,908,False,,9.600000000000001,1,606.7230502015601,1,True
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,679,ALL_BALANCED,11.437286290171667,4.0,0.7692,1.4796,59.0,43.0,11.437286290171667,True,32,2126,32,2026-06-17,2026-06-18,11.437286290171667,32,2126,True,4,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,602.4030502015601,6779,existing_member_matrix,0.14,digit overlap 2,9.775,1,867,False,,9.775,1,605.54930020156,2,False
