core_str,StreamKey,trait_name,trait_value,sample_size,hit_count,hit_rate_pct,baseline_rate_pct,relative_lift_x,lift_pct_points,confidence_score,sample_tier,meets_signal_floor,usable_narrow_stream_seed_signal,usable_watch_only_signal
027,Ontario | Pick 4 Evening,seed_spread_bucket,spread_5_6,358,4,1.117,0.361,3.096,0.756,0.005438,STRONG_STABLE_250_PLUS,False,True,True
027,"Washington, D.C. | DC-4 1:50pm",seed_spread_bucket,spread_3_4,231,3,1.299,0.361,3.599,0.938,0.005066,STABLE_100_249,False,True,True
027,Texas | Daily 4 Morning,seed_sum_bucket,sum_18_21,261,3,1.149,0.361,3.185,0.789,0.003772,STRONG_STABLE_250_PLUS,False,True,True
027,Tennessee | Cash 4 Midday,seed_sum_bucket,sum_22_plus,272,3,1.103,0.361,3.056,0.742,0.003404,STRONG_STABLE_250_PLUS,False,True,True
027,South Carolina | Pick 4 Midday,seed_sum_bucket,sum_18_21,277,3,1.083,0.361,3.001,0.722,0.003252,STRONG_STABLE_250_PLUS,False,True,True
067,Rhode Island | Numbers Game Evening,seed_highlow,LHHH,67,3,4.478,0.36,12.445,4.118,0.05138,CANDIDATE_50_99,False,True,True
067,Nebraska | Pick 4,seed_sum_bucket,sum_22_plus,72,3,4.167,0.36,11.58,3.807,0.047498,CANDIDATE_50_99,False,True,True
067,Michigan | Daily 4 Midday,seed_parity,EOEO,76,3,3.947,0.36,10.971,3.588,0.044767,CANDIDATE_50_99,False,True,True
067,Oregon | Pick 4 4pm,seed_highlow,LLHL,77,3,3.896,0.36,10.828,3.536,0.044117,CANDIDATE_50_99,False,True,True
067,"Washington, D.C. | DC-4 7:50pm",seed_consec_links,2,77,3,3.896,0.36,10.828,3.536,0.044117,CANDIDATE_50_99,False,True,True
067,"Washington, D.C. | DC-4 1:50pm",seed_highlow,LHHH,81,3,3.704,0.36,10.294,3.344,0.041721,CANDIDATE_50_99,False,True,True
067,"Washington, D.C. | DC-4 1:50pm",seed_parity,EEEO,83,3,3.614,0.36,10.046,3.255,0.040611,CANDIDATE_50_99,False,True,True
067,"Washington, D.C. | DC-4 7:50pm",seed_parity,EOEE,83,3,3.614,0.36,10.046,3.255,0.040611,CANDIDATE_50_99,False,True,True
067,"Washington, D.C. | DC-4 7:50pm",seed_highlow,LLLH,88,3,3.409,0.36,9.475,3.049,0.038041,CANDIDATE_50_99,False,True,True
067,Puerto Rico | Pega 4 Día,seed_consec_links,2,102,3,2.941,0.36,8.174,2.581,0.031571,STABLE_100_249,False,True,True
067,"Washington, D.C. | DC-4 7:50pm",DayOfWeek,Sunday,177,4,2.26,0.36,6.281,1.9,0.027642,STABLE_100_249,False,True,True
067,"Washington, D.C. | DC-4 7:50pm",seed_shape,one_pair,510,7,1.373,0.36,3.815,1.013,0.020239,STRONG_STABLE_250_PLUS,False,True,True
067,"Washington, D.C. | DC-4 7:50pm",seed_spread_bucket,spread_5_6,407,6,1.474,0.36,4.097,1.114,0.019174,STRONG_STABLE_250_PLUS,False,True,True
067,"Washington, D.C. | DC-4 7:50pm",seed_consec_links,1,436,6,1.376,0.36,3.825,1.016,0.016324,STRONG_STABLE_250_PLUS,False,True,True
067,"Washington, D.C. | DC-4 7:50pm",seed_shape,all_unique,642,7,1.09,0.36,3.03,0.731,0.011602,STRONG_STABLE_250_PLUS,False,True,True
067,Texas | Daily 4 Evening,seed_sum_bucket,sum_22_plus,276,4,1.449,0.36,4.028,1.089,0.01016,STRONG_STABLE_250_PLUS,False,True,True
067,Texas | Daily 4 Night,DayOfWeek,Friday,175,3,1.714,0.36,4.765,1.354,0.009653,STABLE_100_249,False,True,True
