core_str,candidate_rank,rule_type,rule,sample_size,sample_tier,hit_count,hit_rate_pct,baseline_rate_pct,relative_lift_x,lift_pct_points,confidence_score,meets_signal_floor
145,703,stream_seed_trait_core,StreamKey==Georgia | Cash 4 Evening AND seed_parity==OEEE -> core 145,77,CANDIDATE_50_99,3,3.896,0.347,11.232,3.549,0.044279,False
145,965,stream_seed_trait_core,StreamKey==Oregon | Pick 4 7pm AND seed_highlow==HLLH -> core 145,84,CANDIDATE_50_99,3,3.571,0.347,10.296,3.225,0.040237,False
389,50,stream_core,StreamKey==Mississippi | Cash 4 Midday -> core 389,1234,STRONG_STABLE_250_PLUS,11,0.891,0.405,2.201,0.486,0.010765,True
389,114,stream_core,StreamKey==Massachusetts | Numbers Game Midday -> core 389,1229,STRONG_STABLE_250_PLUS,10,0.814,0.405,2.009,0.409,0.00798,True
389,115,stream_core,StreamKey==Iowa | Pick 4 Midday -> core 389,1234,STRONG_STABLE_250_PLUS,10,0.81,0.405,2.001,0.405,0.00787,True
389,127,seed_trait_core,seed_parity==EOEE -> core 389,5780,STRONG_STABLE_250_PLUS,37,0.64,0.405,1.58,0.235,0.005472,True
389,232,stream_seed_trait_core,StreamKey==Iowa | Pick 4 Midday AND DayOfWeek==Wednesday -> core 389,175,STABLE_100_249,6,3.429,0.405,8.465,3.024,0.121051,False
389,526,stream_seed_trait_core,StreamKey==Connecticut | Play 4 Day AND seed_parity==OOEE -> core 389,71,CANDIDATE_50_99,3,4.225,0.405,10.432,3.82,0.047661,False
389,835,stream_seed_trait_core,StreamKey==New Jersey | Pick 4 Midday AND seed_parity==EEOE -> core 389,79,CANDIDATE_50_99,3,3.797,0.405,9.375,3.392,0.042321,False
389,872,stream_seed_trait_core,StreamKey==New Jersey | Pick 4 Midday AND seed_highlow==LLHH -> core 389,80,CANDIDATE_50_99,3,3.75,0.405,9.258,3.345,0.041734,False
389,938,stream_seed_trait_core,StreamKey==Massachusetts | Numbers Game Midday AND seed_highlow==LHHL -> core 389,82,CANDIDATE_50_99,3,3.659,0.405,9.032,3.253,0.040587,False
457,107,stream_core,StreamKey==Arkansas | Cash 4 Evening -> core 457,1232,STRONG_STABLE_250_PLUS,10,0.812,0.392,2.07,0.42,0.008175,True
