event_id,draw_date,stream,prior_draw_date,prior_result_used_as_seed,seed,base4,seed_core,actual_core,last1_aabc_core,last2_aabc_core,last3_aabc_core,target_core,config,evidence_score,rule_count,max_precision,max_lift,total_support,total_target_hits,final_stream_core_score,has_rule_evidence,matrix_rank_in_stream,daily_opportunity_rank,stream_core_rank_by_deep_score,HISTORY_THROUGH,PLAY_DATE,core_score,full_core_rank,daily_opportunity_rank_num,is_watched8_core,watched8_rank,prior_seed_core,last1_norm,prior_seed_core_for_transition,global_prevcore_to_core_count,stream_prevcore_to_core_count,stream_core_hit_count,lane_top4_normal,lane_watched8_transition,lane_watched8_buried,lane_stream_affinity,trap_keep,trap_lane,trap_lane_weight,trap_priority_score
70,2026-06-18,"Tri-State (ME, NH & VT) | Pick 4 Evening",2026-06-17,3605,3605,,,,039,079,456,027,ALL_BALANCED,62.690560837981764,19.0,1.0,1.9704,373.0,276.0,62.690560837981764,True,1,4,1,2026-06-17,2026-06-18,62.690560837981764,1,4,True,1,,039,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,523.8916962932936
4,2026-06-18,Atlantic Canada | Lotto 4,2026-06-17,2806,2806,,,,134,346,024,067,ALL_BALANCED,28.39020128311201,9.0,0.8182,1.6412,178.0,130.0,28.39020128311201,True,6,211,6,2026-06-17,2026-06-18,28.39020128311201,6,211,True,2,,134,,0,0,3,True,False,False,False,True,TOP4_NORMAL,3,611.1365704490893
13,2026-06-18,Georgia | Cash 4 Midday,2026-06-17,0240,0240,,024,,024,067,024,389,ALL_BALANCED,27.817125523629947,9.0,0.75,1.4661,193.0,139.0,27.817125523629947,True,4,232,4,2026-06-17,2026-06-18,27.817125523629947,4,232,True,1,024,024,024,2,0,7,True,False,False,True,True,STREAM_AFFINITY,4,517.0359939332704
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,027,ALL_BALANCED,27.456990381193997,9.0,0.7692,1.5385,147.0,108.0,27.456990381193997,True,1,239,1,2026-06-17,2026-06-18,27.456990381193997,1,239,True,1,249,249,249,4,0,0,True,True,False,False,True,WATCHED8_TRANSITION,2,917.5599466334179
14,2026-06-18,Georgia | Cash 4 Night,2026-06-17,0072,0072,,027,,027,057,568,389,ALL_BALANCED,27.076108620731503,9.0,0.8095,1.5717,140.0,105.0,27.076108620731503,True,2,250,2,2026-06-17,2026-06-18,27.076108620731503,2,250,True,1,027,027,027,3,0,3,True,True,False,False,True,WATCHED8_TRANSITION,2,916.876638017256
13,2026-06-18,Georgia | Cash 4 Midday,2026-06-17,0240,0240,,024,,024,067,024,145,ALL_BALANCED,26.98641202084719,8.0,0.8421,1.6712,143.0,109.0,26.98641202084719,True,6,252,6,2026-06-17,2026-06-18,26.98641202084719,6,252,True,2,024,024,024,0,0,3,True,False,False,False,True,TOP4_NORMAL,3,610.6452442072965
66,2026-06-18,Texas | Daily 4 Evening,2026-06-17,0024,0024,,024,,024,027,079,145,ALL_BALANCED,26.98641202084719,8.0,0.8421,1.6712,143.0,109.0,26.98641202084719,True,8,253,8,2026-06-17,2026-06-18,26.98641202084719,8,253,True,2,024,024,024,0,0,2,True,False,False,False,True,TOP4_NORMAL,3,610.0452442072965
46,2026-06-18,Ohio | Pick 4 Midday,2026-06-17,4577,4577,,457,,457,234,359,027,ALL_BALANCED,26.937865198071044,10.0,0.8333,1.6297,113.0,82.0,26.937865198071044,True,3,257,3,2026-06-17,2026-06-18,26.937865198071044,3,257,True,1,457,457,457,1,0,3,True,False,False,False,True,TOP4_NORMAL,3,612.7782528193248
2,2026-06-18,Arkansas | Cash 4 Evening,2026-06-17,4797,4797,,479,,479,368,346,027,ALL_BALANCED,26.770843357311858,9.0,0.8421,1.6593,123.0,92.0,26.770843357311858,True,8,263,8,2026-06-17,2026-06-18,26.770843357311858,8,263,True,1,479,479,479,1,0,2,True,False,False,False,True,TOP4_NORMAL,3,611.9697951750592
53,2026-06-18,Pennsylvania | Pick 4 Day,2026-06-17,4930,4930,,,,137,015,049,457,ALL_BALANCED,26.643588315862154,9.0,0.75,1.4774,156.0,113.0,26.643588315862154,True,4,266,4,2026-06-17,2026-06-18,26.643588315862154,4,266,True,1,,137,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,511.12525591055174
26,2026-06-18,Maryland | Pick 4 Evening,2026-06-17,5686,5686,,568,,568,129,247,145,ALL_BALANCED,26.58691061174038,9.0,1.0,1.9845,103.0,78.0,26.58691061174038,True,3,269,3,2026-06-17,2026-06-18,26.58691061174038,3,269,True,1,568,568,568,3,0,6,True,True,False,True,True,WATCHED8_TRANSITION,2,918.1554187141091
