StreamKey,core_str,member_str,opportunity_count,exact_member_hits,core_hits,exact_hit_rate_pct,core_hit_rate_pct,top1_count,top2_count,top3_count,top1_share_pct,avg_best_member_rank,avg_member_score,max_member_score,avg_matrix_final_score,avg_streamrank_score,avg_core_rank_within_stream,avg_stream_rank_within_core,exact_pair_score,sample_tier,usable_exact_pair_signal,source,source_window_start,source_window_end,formula
Puerto Rico | Pega 4 Día,067,0067,42,0,0,0.0,0.0,8,12,22,19.047619,2.333333,193.705214,215.19231,433.189423,433.189423,67.690476,38.047619,11.639591,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Puerto Rico | Pega 4 Noche,067,0667,126,0,0,0.0,0.0,83,29,14,65.873016,1.452381,204.922379,241.441057,432.707858,432.707858,63.015873,38.674603,19.058032,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Puerto Rico | Pega 4 Noche,067,0677,103,0,0,0.0,0.0,45,32,26,43.68932,1.815534,203.983393,255.341344,434.874332,434.874332,61.582524,35.38835,15.822537,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Puerto Rico | Pega 4 Noche,067,0067,47,0,0,0.0,0.0,3,20,24,6.382979,2.446809,193.9524,230.189257,432.956723,432.956723,63.468085,39.234043,10.17535,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Québec | Quotidienne 4,067,0667,151,1,2,0.662252,1.324503,99,40,12,65.562914,1.423841,203.457889,249.223337,428.867095,428.867095,74.357616,46.655629,24.305548,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Québec | Quotidienne 4,067,0677,122,1,1,0.819672,0.819672,43,43,36,35.245902,1.942623,199.486295,248.095249,430.008714,430.008714,70.639344,44.434426,19.875439,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Québec | Quotidienne 4,067,0067,51,0,1,0.0,1.960784,12,20,19,23.529412,2.137255,194.15543,223.550817,429.385841,429.385841,70.215686,44.764706,13.074962,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Rhode Island | Numbers Game Evening,067,0667,153,0,0,0.0,0.0,102,39,12,66.666667,1.411765,204.166505,241.160628,430.665171,430.665171,58.849673,42.424837,19.269825,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Rhode Island | Numbers Game Evening,067,0677,122,0,0,0.0,0.0,45,39,38,36.885246,1.942623,199.604252,267.73175,431.026809,431.026809,58.442623,42.122951,14.703772,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Rhode Island | Numbers Game Evening,067,0067,43,0,0,0.0,0.0,7,16,20,16.27907,2.302326,193.879472,219.032501,431.980118,431.980118,57.767442,40.697674,11.542043,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Rhode Island | Numbers Game Midday,067,0667,151,0,0,0.0,0.0,99,34,18,65.562914,1.463576,206.786915,251.85919,431.150392,431.150392,56.145695,40.933775,19.010188,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Rhode Island | Numbers Game Midday,067,0677,113,0,0,0.0,0.0,49,38,26,43.362832,1.79646,202.524409,243.894697,431.978699,431.978699,53.566372,39.247788,15.847469,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Rhode Island | Numbers Game Midday,067,0067,59,0,0,0.0,0.0,7,22,30,11.864407,2.389831,191.369627,219.032501,432.262452,432.262452,59.627119,40.118644,10.80595,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
South Carolina | Pick 4 Evening,067,0667,149,0,0,0.0,0.0,96,40,13,64.42953,1.442953,206.030396,250.010402,440.48568,440.48568,30.416107,23.181208,19.010594,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
South Carolina | Pick 4 Evening,067,0677,119,0,0,0.0,0.0,43,38,38,36.134454,1.957983,203.514899,279.196433,441.406414,441.406414,27.084034,21.352941,14.655168,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
South Carolina | Pick 4 Evening,067,0067,60,0,0,0.0,0.0,15,19,26,25.0,2.183333,194.789794,218.870441,441.114505,441.114505,30.9,22.0,12.746093,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
South Carolina | Pick 4 Midday,067,0667,129,0,0,0.0,0.0,92,27,10,71.317829,1.364341,206.942856,239.979255,433.703238,433.703238,58.472868,37.248062,19.874707,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
South Carolina | Pick 4 Midday,067,0677,98,0,0,0.0,0.0,36,43,19,36.734694,1.826531,204.963685,250.571891,433.845847,433.845847,57.22449,36.428571,15.233194,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
South Carolina | Pick 4 Midday,067,0067,52,0,0,0.0,0.0,5,18,29,9.615385,2.461538,194.177883,217.026185,433.493932,433.493932,56.711538,38.403846,10.379103,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Tennessee | Cash 4 Evening,067,0667,149,1,1,0.671141,0.671141,93,38,18,62.416107,1.496644,205.704297,237.438958,433.731191,433.731191,52.885906,38.006711,23.715378,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Tennessee | Cash 4 Evening,067,0677,118,0,1,0.0,0.847458,50,44,24,42.372881,1.779661,205.616605,253.963212,434.171026,434.171026,50.567797,37.033898,16.008202,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Tennessee | Cash 4 Evening,067,0067,58,0,1,0.0,1.724138,9,21,28,15.517241,2.327586,195.701865,235.962516,435.157287,435.157287,53.396552,35.224138,11.669328,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Tennessee | Cash 4 Midday,067,0667,130,0,0,0.0,0.0,87,28,15,66.923077,1.446154,204.134568,234.874222,433.501155,433.501155,59.353846,37.869231,19.158027,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Tennessee | Cash 4 Midday,067,0677,95,0,0,0.0,0.0,40,29,26,42.105263,1.852632,201.642754,238.632864,433.708717,433.708717,59.231579,36.957895,15.513882,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Tennessee | Cash 4 Midday,067,0067,52,0,0,0.0,0.0,4,25,23,7.692308,2.365385,193.732733,223.403753,434.11307,434.11307,54.942308,36.653846,10.605175,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Tennessee | Cash 4 Morning,067,0667,131,1,1,0.763359,0.763359,87,33,11,66.412214,1.419847,205.47436,247.809903,434.013491,434.013491,58.625954,35.274809,24.468858,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Tennessee | Cash 4 Morning,067,0677,104,0,1,0.0,0.961538,39,33,32,37.5,1.932692,201.363808,239.50202,434.319968,434.319968,56.75,34.115385,14.966952,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Tennessee | Cash 4 Morning,067,0067,44,0,0,0.0,0.0,7,20,17,15.909091,2.227273,192.852721,209.058212,436.688969,436.688969,59.795455,33.568182,11.808384,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
